ticker,sector,short_name,long_name,industry,market_cap,shares_out,country,exchange
AAPL,Technology,Apple Inc.,Apple Inc.,Consumer Electronics,3698586025984,14681140000,United States,NMS
MSFT,Technology,Microsoft Corporation,Microsoft Corporation,Software - Infrastructure,2770344345600,7425629076,United States,NMS
GOOGL,Technology,Alphabet Inc.,Alphabet Inc.,Internet Content & Information,3513452855296,5822000000,United States,NMS
NVDA,Technology,NVIDIA Corporation,NVIDIA Corporation,Semiconductors,4258235940864,24300000000,United States,NMS
META,Technology,"Meta Platforms, Inc.","Meta Platforms, Inc.",Internet Content & Information,1499823996928,2187177748,United States,NMS
ADBE,Technology,Adobe Inc.,Adobe Inc.,Software - Application,98056134656,407636918,United States,NMS
CRM,Technology,"Salesforce, Inc.","Salesforce, Inc.",Software - Application,171489738752,923000000,United States,NYQ
INTC,Technology,Intel Corporation,Intel Corporation,Semiconductors,220087566336,4995000000,United States,NMS
AMD,Technology,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",Semiconductors,334837481472,1630410843,United States,NMS
QCOM,Technology,QUALCOMM Incorporated,QUALCOMM Incorporated,Semiconductors,137425362944,1067000000,United States,NMS
JPM,Financials,JP Morgan Chase & Co.,JPMorgan Chase & Co.,Banks - Diversified,788612251648,2697032375,United States,NYQ
BAC,Financials,Bank of America Corporation,Bank of America Corporation,Banks - Diversified,351542149120,7176682170,United States,NYQ
GS,Financials,"Goldman Sachs Group, Inc. (The)","The Goldman Sachs Group, Inc.",Capital Markets,250656243712,296752922,United States,NYQ
MS,Financials,Morgan Stanley,Morgan Stanley,Capital Markets,263378370560,1587860206,United States,NYQ
WFC,Financials,Wells Fargo & Company,Wells Fargo & Company,Banks - Diversified,245647458304,3074954752,United States,NYQ
BLK,Financials,"BlackRock, Inc.","BlackRock, Inc.",Asset Management,151817863168,155541536,United States,NYQ
AXP,Financials,American Express Company,American Express Company,Credit Services,208033202176,686614005,United States,NYQ
C,Financials,"Citigroup, Inc.",Citigroup Inc.,Banks - Diversified,198967541760,1749319009,United States,NYQ
USB,Financials,U.S. Bancorp,U.S. Bancorp,Banks - Regional,81009696768,1552252176,United States,NYQ
PNC,Financials,"PNC Financial Services Group, I","The PNC Financial Services Group, Inc.",Banks - Regional,83430170624,403370923,United States,NYQ
JNJ,Healthcare,Johnson & Johnson,Johnson & Johnson,Drug Manufacturers - General,566976970752,2408613219,United States,NYQ
UNH,Healthcare,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,Healthcare Plans,247141974016,907675839,United States,NYQ
PFE,Healthcare,"Pfizer, Inc.",Pfizer Inc.,Drug Manufacturers - General,153358073856,5688356129,United States,NYQ
ABBV,Healthcare,AbbVie Inc.,AbbVie Inc.,Drug Manufacturers - General,362828267520,1768169012,United States,NYQ
MRK,Healthcare,"Merck & Company, Inc.","Merck & Co., Inc.",Drug Manufacturers - General,287712247808,2472392003,United States,NYQ
TMO,Healthcare,Thermo Fisher Scientific Inc,Thermo Fisher Scientific Inc.,Diagnostics & Research,182135013376,371484244,United States,NYQ
ABT,Healthcare,Abbott Laboratories,Abbott Laboratories,Medical Devices,180823277568,1737674869,United States,NYQ
LLY,Healthcare,Eli Lilly and Company,Eli Lilly and Company,Drug Manufacturers - General,808219836416,892992420,United States,NYQ
BMY,Healthcare,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,Drug Manufacturers - General,116873224192,2036473705,United States,NYQ
AMGN,Healthcare,Amgen Inc.,Amgen Inc.,Drug Manufacturers - General,187827339264,539067675,United States,NMS
AMZN,Consumer,"Amazon.com, Inc.","Amazon.com, Inc.",Internet Retail,2224704978944,10734920870,United States,NMS
