seed,method,k,knn_r2_fwdvol,knn_vol_auc
0,PCA,10,0.4550245615197598,0.7974150687273024
0,PCA,25,0.48339632663206433,0.8153313349824638
0,PCA,50,0.4921589959344701,0.820838322624523
0,PCA,100,0.4957946638296371,0.8239270566444492
0,Isomap,10,0.30120384549710166,0.7507522609030314
0,Isomap,25,0.33706282928424824,0.769807945953912
0,Isomap,50,0.34409032334238276,0.775060028795882
0,Isomap,100,0.3470833732864059,0.7779438733942639
0,UMAP,10,0.5478019493407462,0.8456582297053227
0,UMAP,25,0.5684598883933402,0.8609991366808987
0,UMAP,50,0.5703205564875709,0.8652376311244945
0,UMAP,100,0.5641862586202063,0.8636007800243639
0,Diffusion,10,0.5402517182646231,0.8244587578381102
0,Diffusion,25,0.5649077927997862,0.8398796545844012
0,Diffusion,50,0.5713394524482096,0.8453685607064337
0,Diffusion,100,0.5745522467751665,0.8485065916339102
1,PCA,10,0.21686728529648824,0.6722404488560298
1,PCA,25,0.25271451089816943,0.6868077902078287
1,PCA,50,0.2642092578292291,0.6951048281299791
1,PCA,100,0.2668471975665825,0.7015898964654548
1,Isomap,10,0.30659974279229874,0.7403583832526747
1,Isomap,25,0.3416874167301579,0.7606636191867565
1,Isomap,50,0.3511321861334221,0.7702212094925958
1,Isomap,100,0.3524820264927643,0.7726288707758971
1,UMAP,10,0.5683152057615171,0.8553381501752567
1,UMAP,25,0.5914586621468291,0.8692220105215347
1,UMAP,50,0.5963466491181408,0.872875364004818
1,UMAP,100,0.5919327192155527,0.8721288570197065
1,Diffusion,10,0.6075950198240219,0.8653107270971476
1,Diffusion,25,0.6267651164892516,0.8807197319837161
1,Diffusion,50,0.6299692859153387,0.8845409579946713
1,Diffusion,100,0.6282401127562233,0.8860196856389622
2,PCA,10,0.27250828722283493,0.7056490622783813
2,PCA,25,0.31152477594581607,0.7249749224008658
2,PCA,50,0.3260437550567078,0.7340411171461078
2,PCA,100,0.33202721756698117,0.7402292683271098
2,Isomap,10,0.3022123158938518,0.7374902661726944
2,Isomap,25,0.3366959375694343,0.7565312263277548
2,Isomap,50,0.34248669860499603,0.7623547857393396
2,Isomap,100,0.3411673446044369,0.7648396579531064
2,UMAP,10,0.5908406069288534,0.8619740775333882
2,UMAP,25,0.6093824666134317,0.8740742362483873
2,UMAP,50,0.611306017649734,0.8774388209603085
2,UMAP,100,0.6046384602686328,0.8759585767377372
2,Diffusion,10,0.6274874391434796,0.869780481942195
2,Diffusion,25,0.6426313525356796,0.8848088241248198
2,Diffusion,50,0.639789211157046,0.8882460868424656
2,Diffusion,100,0.626495970894983,0.8879097742189062
