bar,feature_set,n_components,fit_scope,task,probe,metric,family,value,pca_value,margin_vs_pca
5s,full,2,pooled,lab_depth_collapse,knn,auc,UMAP,0.7045,0.5779,0.12660000000000005
5s,full,2,pooled,lab_depth_collapse,logistic,auc,LLE,0.5876,0.5242,0.06340000000000001
5s,full,2,pooled,lab_spread_widen,knn,auc,Diffusion,0.6795,0.5191,0.1604
5s,full,2,pooled,lab_spread_widen,logistic,auc,Diffusion,0.6723,0.5222,0.1501
5s,full,2,pooled,lab_stress,knn,auc,UMAP,0.7204,0.7165,0.0039000000000000146
5s,full,2,pooled,lab_stress,logistic,auc,Diffusion,0.675,0.6641,0.01090000000000002
5s,full,2,pooled,lab_vol_spike,knn,auc,UMAP,0.8683,0.823,0.04530000000000001
5s,full,2,pooled,lab_vol_spike,logistic,auc,Diffusion,0.8317,0.8225,0.009199999999999986
5s,full,2,pooled,reg_curvol,knn,r2,UMAP,0.5765,0.4869,0.08960000000000001
5s,full,2,pooled,reg_curvol,ridge,r2,PCA,0.4685,0.4685,0.0
5s,full,2,pooled,reg_fwdvol,knn,r2,UMAP,0.5714,0.4932,0.07819999999999999
5s,full,2,pooled,reg_fwdvol,ridge,r2,PCA,0.4681,0.4681,0.0
5s,full,2,pooled,reg_intraday,knn,r2,Diffusion,0.0728,0.0622,0.010600000000000005
5s,full,2,pooled,reg_intraday,ridge,r2,PCA,0.0601,0.0601,0.0
5s,full,2,pooled,reg_relspread,knn,r2,Diffusion,0.8084,0.5165,0.29190000000000005
5s,full,2,pooled,reg_relspread,ridge,r2,PCA,0.51,0.51,0.0
5s,full,3,pooled,lab_depth_collapse,knn,auc,Isomap,0.7529,0.584,0.16890000000000005
5s,full,3,pooled,lab_depth_collapse,logistic,auc,Isomap,0.7432,0.5266,0.21660000000000001
5s,full,3,pooled,lab_spread_widen,knn,auc,Diffusion,0.7482,0.5586,0.1896
5s,full,3,pooled,lab_spread_widen,logistic,auc,Diffusion,0.6914,0.5239,0.16749999999999998
5s,full,3,pooled,lab_stress,knn,auc,PCA,0.7682,0.7682,0.0
5s,full,3,pooled,lab_stress,logistic,auc,PCA,0.7166,0.7166,0.0
5s,full,3,pooled,lab_vol_spike,knn,auc,Diffusion,0.9195,0.9033,0.016199999999999992
5s,full,3,pooled,lab_vol_spike,logistic,auc,PCA,0.907,0.907,0.0
5s,full,3,pooled,reg_curvol,knn,r2,Diffusion,0.7624,0.7184,0.04399999999999993
5s,full,3,pooled,reg_curvol,ridge,r2,PCA,0.6729,0.6729,0.0
5s,full,3,pooled,reg_fwdvol,knn,r2,Diffusion,0.7393,0.72,0.019299999999999984
5s,full,3,pooled,reg_fwdvol,ridge,r2,PCA,0.6683,0.6683,0.0
5s,full,3,pooled,reg_intraday,knn,r2,Diffusion,0.0998,0.0963,0.003500000000000003
5s,full,3,pooled,reg_intraday,ridge,r2,PCA,0.0818,0.0818,0.0
5s,full,3,pooled,reg_relspread,knn,r2,Diffusion,0.8169,0.5827,0.23419999999999996
5s,full,3,pooled,reg_relspread,ridge,r2,Isomap,0.5666,0.5595,0.007099999999999995
5s,full,5,pooled,lab_depth_collapse,knn,auc,PCA,0.7809,0.7809,0.0
5s,full,5,pooled,lab_depth_collapse,logistic,auc,Isomap,0.7627,0.7484,0.01430000000000009
5s,full,5,pooled,lab_spread_widen,knn,auc,Diffusion,0.7468,0.7244,0.022399999999999975
5s,full,5,pooled,lab_spread_widen,logistic,auc,Diffusion,0.773,0.7262,0.046800000000000064
5s,full,5,pooled,lab_stress,knn,auc,Diffusion,0.806,0.7975,0.008500000000000063
5s,full,5,pooled,lab_stress,logistic,auc,Diffusion,0.7501,0.7189,0.031200000000000006
5s,full,5,pooled,lab_vol_spike,knn,auc,Diffusion,0.9397,0.925,0.014699999999999935
5s,full,5,pooled,lab_vol_spike,logistic,auc,Diffusion,0.9469,0.9187,0.028200000000000003
5s,full,5,pooled,reg_curvol,knn,r2,Diffusion,0.8063,0.7482,0.05810000000000004
5s,full,5,pooled,reg_curvol,ridge,r2,Isomap,0.7199,0.6887,0.031200000000000006
5s,full,5,pooled,reg_fwdvol,knn,r2,Diffusion,0.7907,0.7462,0.044499999999999984
5s,full,5,pooled,reg_fwdvol,ridge,r2,Isomap,0.7148,0.6843,0.03049999999999997
5s,full,5,pooled,reg_intraday,knn,r2,Diffusion,0.1096,0.1017,0.007900000000000004
