family,param,rho,r2,fit_time_s
PCA,—,0.9451866246955738,0.7842799486736863,0.0019330978393554688
ISOMAP,nn=5,0.9391095630318687,0.7677352148257109,0.9194738864898682
ISOMAP,nn=10,0.9463785486590774,0.7740405134380859,1.0271039009094238
ISOMAP,nn=15,0.9500296172085857,0.77646697095751,1.1746490001678467
ISOMAP,nn=30,0.9491370263003233,0.7791926099814587,1.4577605724334717
ISOMAP,nn=50,0.9489657735456297,0.7806967428696969,1.959036111831665
ISOMAP,nn=100,0.949316484187336,0.781908184171935,2.8906359672546387
UMAP,nn=5,0.8441486239875176,0.7048945699332719,6.750386953353882
UMAP,nn=15,0.8602574075648541,0.7235328413539042,4.601519823074341
UMAP,nn=30,0.8624757959843046,0.7248195303225624,5.12763786315918
UMAP,nn=50,0.8612324040366472,0.7253888658822895,5.518899917602539
t-SNE,perp=5,0.8009409508062229,0.7022646538458192,3.2651541233062744
t-SNE,perp=30,0.8502721972269598,0.7114493815376668,4.490020751953125
t-SNE,perp=50,0.8529774756987775,0.7128409140548329,5.00344181060791
t-SNE,perp=100,0.8568698946671198,0.7136650979821297,4.946197986602783
