category,name,type,url,size_text,downloaded,local_file
DAILY TAQ,Appendix_B_Pilot_File_Updates.xlsx.archived20200910,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/Appendix_B_Pilot_File_Updates.xlsx.archived20200910,52006,False,
DAILY TAQ,EQY_US_ALL_ADMIN_CTS_20220315.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_ADMIN_CTS_20220315.gz,99144393,False,
DAILY TAQ,EQY_US_ALL_ADMIN_CTS_20221003.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_ADMIN_CTS_20221003.gz,99744464,False,
DAILY TAQ,EQY_US_ALL_ADMIN_CTS_20221004.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_ADMIN_CTS_20221004.gz,99384926,False,
DAILY TAQ,EQY_US_ALL_ADMIN_UTP_20220315.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_ADMIN_UTP_20220315.gz,58783699,False,
DAILY TAQ,EQY_US_ALL_ADMIN_UTP_20221003.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_ADMIN_UTP_20221003.gz,59290767,False,
DAILY TAQ,EQY_US_ALL_ADMIN_UTP_20221004.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_ADMIN_UTP_20221004.gz,59309634,False,
DAILY TAQ,EQY_US_ALL_BBO_ADMIN_20260102.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_BBO_ADMIN_20260102.gz,117508810,False,
DAILY TAQ,EQY_US_ALL_BBO_ADMIN_20260105.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_BBO_ADMIN_20260105.gz,117303295,False,
DAILY TAQ,EQY_US_ALL_NBBO_20260102.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_NBBO_20260102.gz,9566494015,False,
DAILY TAQ,EQY_US_ALL_NBBO_20260105.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_NBBO_20260105.gz,8422364770,False,
DAILY TAQ,EQY_US_ALL_REF_MASTER_20260102.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_REF_MASTER_20260102.gz,410450,True,data/nyse_taq_samples/EQY_US_ALL_REF_MASTER_20260102.gz
DAILY TAQ,EQY_US_ALL_REF_MASTER_20260105.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_REF_MASTER_20260105.gz,409936,False,
DAILY TAQ,EQY_US_ALL_TRADE_20260102.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_TRADE_20260102.gz,3234098414,True,data/nyse_taq_samples/EQY_US_ALL_TRADE_20260102.gz
DAILY TAQ,EQY_US_ALL_TRADE_20260105.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_TRADE_20260105.gz,3783084551,False,
DAILY TAQ,EQY_US_ALL_TRADE_ADMIN_20260102.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/EQY_US_ALL_TRADE_ADMIN_20260102.gz,92039645,False,
DAILY TAQ,SPLITS_US_ALL_BBO_20260102.done,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/SPLITS_US_ALL_BBO_20260102.done,20,False,
DAILY TAQ,SPLITS_US_ALL_BBO_20260105.done,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/SPLITS_US_ALL_BBO_20260105.done,20,False,
DAILY TAQ,SPLITS_US_ALL_BBO_A_20260102.gz,file,https://ftp.nyse.com/Historical%20Data%20Samples/DAILY%20TAQ/SPLITS_US_ALL_BBO_A_20260102.gz,2114322105,False,
