symbol,task,r2_train,r2_test,n_test,importance,train_acc,test_acc,auc,baseline
AAPL,volatility,0.6950187849092502,-135.7483361945836,132,"{'realized_var_lag1': np.float64(4.023243923973104e-05), 'realized_var_lag5': np.float64(-4.409205929049669e-05), 'vol_5': np.float64(0.00018655959989731096), 'vol_10': np.float64(-0.00017470102273354696), 'mean_spread_bps_lag1': np.float64(-4.2083488004983805e-05), 'max_spread_bps_lag1': np.float64(0.00017720708446453018), 'mean_depth_imbalance_lag1': np.float64(2.7491051037736567e-06), 'quote_intensity_lag1': np.float64(-3.0106054196085573e-05), 'mean_log_depth_lag1': np.float64(-3.981745847892065e-05), 'min_range_lag1': np.float64(0.00020196254906478274)}",,,,
AAPL,direction,,,134,"{'min_return_lag1': np.float64(0.047665251335021856), 'mean_return_5': np.float64(0.10345413125260287), 'vol_5': np.float64(0.3558824067937201), 'mean_depth_imbalance_lag1': np.float64(-0.021753233762589464), 'mean_depth_imbalance_lag5': np.float64(-0.11791416008622986), 'mean_spread_bps_lag1': np.float64(-0.3069249289655074), 'quote_intensity_lag1': np.float64(0.01674804847821674)}",0.5691318327974276,0.5149253731343284,0.5316399286987523,0.5074626865671642
DIA,volatility,0.10471649441690811,-0.7742905411884915,144,"{'realized_var_lag1': np.float64(5.976636582374973e-08), 'realized_var_lag5': np.float64(-6.948329676239108e-08), 'vol_5': np.float64(1.0489200917759801e-07), 'vol_10': np.float64(1.7100275677099485e-07), 'mean_spread_bps_lag1': np.float64(8.923091297500937e-08), 'max_spread_bps_lag1': np.float64(-6.529838584426232e-09), 'mean_depth_imbalance_lag1': np.float64(1.6139077092119095e-07), 'quote_intensity_lag1': np.float64(-1.0251873308375613e-07), 'mean_log_depth_lag1': np.float64(-1.4008447300866384e-07), 'min_range_lag1': np.float64(-3.84533485210793e-08)}",,,,
DIA,direction,,,146,"{'min_return_lag1': np.float64(-0.08530871812747909), 'mean_return_5': np.float64(-0.03236608331485692), 'vol_5': np.float64(0.11001261643288078), 'mean_depth_imbalance_lag1': np.float64(-0.14081571293626405), 'mean_depth_imbalance_lag5': np.float64(0.16115090946615612), 'mean_spread_bps_lag1': np.float64(0.042783407840777145), 'quote_intensity_lag1': np.float64(0.2375211287661887)}",0.5558823529411765,0.4452054794520548,0.42610328638497647,0.5136986301369864
IVV,volatility,0.38474760293768206,-510.7149699851475,144,"{'realized_var_lag1': np.float64(-1.3027504411344472e-05), 'realized_var_lag5': np.float64(-2.8389513289084876e-07), 'vol_5': np.float64(-2.830172970549309e-06), 'vol_10': np.float64(3.6009745075260298e-06), 'mean_spread_bps_lag1': np.float64(-4.201229402849059e-05), 'max_spread_bps_lag1': np.float64(5.925626965646433e-05), 'mean_depth_imbalance_lag1': np.float64(-5.5436414999842084e-05), 'quote_intensity_lag1': np.float64(-8.556190210076896e-06), 'mean_log_depth_lag1': np.float64(4.3949208837510906e-05), 'min_range_lag1': np.float64(-9.078550761035675e-07)}",,,,
IVV,direction,,,147,"{'min_return_lag1': np.float64(-0.20505072333065164), 'mean_return_5': np.float64(-0.3018882442152545), 'vol_5': np.float64(0.21425302933526807), 'mean_depth_imbalance_lag1': np.float64(0.15942163562076184), 'mean_depth_imbalance_lag5': np.float64(-0.11434402984949159), 'mean_spread_bps_lag1': np.float64(-0.24324415262874616), 'quote_intensity_lag1': np.float64(0.03253907356250503)}",0.5705882352941176,0.5170068027210885,0.4701630837657524,0.5170068027210885
IWM,volatility,0.03990142635960636,-436.2125065013303,155,"{'realized_var_lag1': np.float64(3.1817092747229273e-06), 'realized_var_lag5': np.float64(-8.86654444150607e-10), 'vol_5': np.float64(-8.201410403647594e-07), 'vol_10': np.float64(-1.1034207134304405e-06), 'mean_spread_bps_lag1': np.float64(-1.5351255832698118e-05), 'max_spread_bps_lag1': np.float64(3.2624195291914607e-06), 'mean_depth_imbalance_lag1': np.float64(-1.4591764259637525e-06), 'quote_intensity_lag1': np.float64(-1.7805904631459148e-05), 'mean_log_depth_lag1': np.float64(-1.5495022908758573e-06), 'min_range_lag1': np.float64(2.0192032241071063e-07)}",,,,
IWM,direction,,,157,"{'min_return_lag1': np.float64(-0.3322304661345241), 'mean_return_5': np.float64(0.2443898427743513), 'vol_5': np.float64(-0.050848581794806696), 'mean_depth_imbalance_lag1': np.float64(0.1605229405391331), 'mean_depth_imbalance_lag5': np.float64(0.05561070022131095), 'mean_spread_bps_lag1': np.float64(-0.12888229643635754), 'quote_intensity_lag1': np.float64(-0.01917002372112748)}",0.5780821917808219,0.5477707006369427,0.5161448140900196,0.535031847133758
GOOGL,volatility,0.6548725438640111,-12260.831543791377,127,"{'realized_var_lag1': np.float64(2.4294028826828618e-05), 'realized_var_lag5': np.float64(-7.668761914653368e-05), 'vol_5': np.float64(7.511628255526108e-05), 'vol_10': np.float64(-0.00021902104066315908), 'mean_spread_bps_lag1': np.float64(0.00037028401389258437), 'max_spread_bps_lag1': np.float64(5.385367238958239e-05), 'mean_depth_imbalance_lag1': np.float64(9.562195971645566e-05), 'quote_intensity_lag1': np.float64(-9.273890105984335e-05), 'mean_log_depth_lag1': np.float64(-0.0001999093707309597), 'min_range_lag1': np.float64(3.4671554377457556e-05)}",,,,
GOOGL,direction,,,129,"{'min_return_lag1': np.float64(0.25734394250348536), 'mean_return_5': np.float64(0.028006737936315602), 'vol_5': np.float64(0.24301570451868165), 'mean_depth_imbalance_lag1': np.float64(-0.15154576947009013), 'mean_depth_imbalance_lag5': np.float64(0.14079646542735924), 'mean_spread_bps_lag1': np.float64(-0.04310420987795519), 'quote_intensity_lag1': np.float64(0.03451045813178854)}",0.5581395348837209,0.4108527131782946,0.44414764448761535,0.5503875968992248
