symbol,horizon,r2_train,r2_test,directional_accuracy,n_test,feature_importance
AAPL,1bar,0.1222214711654468,-13.975347766455405,0.4161184210526316,608,"{'return_lag1': np.float64(0.015224494077897279), 'return_lag5': np.float64(0.0073245066002185005), 'return_vol_10': np.float64(0.00044006563773170524), 'return_mean_10': np.float64(0.008246572708918359), 'range_lag1': np.float64(3.31499190509041e-05), 'mean_spread_bps_lag1': np.float64(-6.512323536027736e-06), 'mean_depth_imbalance_lag1': np.float64(-0.001963086239564352), 'quote_intensity_lag1': np.float64(3.942503047797358e-06), 'mean_log_depth_lag1': np.float64(0.0022601765071427094), 'spread_x_imbalance': np.float64(0.0013065092318711121)}"
AAPL,5bar,0.02288665734214168,-0.227737536737882,0.5024711696869851,607,"{'return_lag1': np.float64(0.00026079780269583206), 'return_lag5': np.float64(-0.0020078274929290715), 'return_vol_10': np.float64(-0.0002835731077210341), 'return_mean_10': np.float64(-0.0028462766185811473), 'range_lag1': np.float64(-7.093414582020116e-06), 'mean_spread_bps_lag1': np.float64(1.0644818458614605e-05), 'mean_depth_imbalance_lag1': np.float64(0.0006426511208752737), 'quote_intensity_lag1': np.float64(-3.7954790311741385e-07), 'mean_log_depth_lag1': np.float64(0.0004496809923340621), 'spread_x_imbalance': np.float64(-0.000601433227884513)}"
DIA,1bar,0.0010924954250945973,-0.007994020398113255,0.3896260554885404,1658,"{'return_lag1': np.float64(3.330111285271973e-05), 'return_lag5': np.float64(3.9572115366531415e-06), 'return_vol_10': np.float64(-0.00018353120255796217), 'return_mean_10': np.float64(6.556471031758439e-05), 'range_lag1': np.float64(-2.7389264517069867e-07), 'mean_spread_bps_lag1': np.float64(2.8944621955096387e-06), 'mean_depth_imbalance_lag1': np.float64(-0.00011722055006760403), 'quote_intensity_lag1': np.float64(8.102018977083604e-07), 'mean_log_depth_lag1': np.float64(-1.4763989522340471e-05), 'spread_x_imbalance': np.float64(5.062318855685126e-06)}"
DIA,5bar,0.00032306970791096123,-0.011635252055327339,0.4622812311406156,1657,"{'return_lag1': np.float64(3.235873563738261e-05), 'return_lag5': np.float64(-2.6449839239357327e-05), 'return_vol_10': np.float64(3.7334945501249207e-06), 'return_mean_10': np.float64(-0.00012285762486791783), 'range_lag1': np.float64(2.39486063598833e-07), 'mean_spread_bps_lag1': np.float64(2.6456301016578885e-07), 'mean_depth_imbalance_lag1': np.float64(6.560359524407155e-05), 'quote_intensity_lag1': np.float64(3.761653582274157e-07), 'mean_log_depth_lag1': np.float64(-2.506809922835631e-07), 'spread_x_imbalance': np.float64(-3.3409294496369206e-06)}"
IVV,1bar,0.001600958856967205,-0.010121817661488786,0.47771084337349395,1660,"{'return_lag1': np.float64(-9.7883867223992e-06), 'return_lag5': np.float64(1.2273582660389064e-05), 'return_vol_10': np.float64(-0.00019206938928487276), 'return_mean_10': np.float64(-0.00011708029441188267), 'range_lag1': np.float64(5.686653835325868e-07), 'mean_spread_bps_lag1': np.float64(-1.923520690511228e-06), 'mean_depth_imbalance_lag1': np.float64(-0.00010457724811031941), 'quote_intensity_lag1': np.float64(-8.068705688641829e-09), 'mean_log_depth_lag1': np.float64(1.7861079958766483e-05), 'spread_x_imbalance': np.float64(-2.0325027225340525e-06)}"
IVV,5bar,0.012806457475655564,-0.03571817014643375,0.5033152501506932,1659,"{'return_lag1': np.float64(-7.757417379105834e-06), 'return_lag5': np.float64(-6.764761510063597e-06), 'return_vol_10': np.float64(-0.00010526309829008107), 'return_mean_10': np.float64(-0.0003345420156189057), 'range_lag1': np.float64(1.1370034292921683e-06), 'mean_spread_bps_lag1': np.float64(1.9959934526012592e-08), 'mean_depth_imbalance_lag1': np.float64(0.0004900831466510042), 'quote_intensity_lag1': np.float64(5.374348772128357e-07), 'mean_log_depth_lag1': np.float64(-8.956467037335198e-06), 'spread_x_imbalance': np.float64(7.067405608462928e-08)}"
IWM,1bar,0.0017415950257783086,-0.023038958457553438,0.42832167832167833,1144,"{'return_lag1': np.float64(-2.9909422813956372e-06), 'return_lag5': np.float64(-1.2728866785118454e-05), 'return_vol_10': np.float64(6.668584055575979e-07), 'return_mean_10': np.float64(-6.887101631601823e-06), 'range_lag1': np.float64(-1.1554564571528138e-06), 'mean_spread_bps_lag1': np.float64(1.393001841764823e-06), 'mean_depth_imbalance_lag1': np.float64(1.6465771361935388e-05), 'quote_intensity_lag1': np.float64(-6.539629045420357e-09), 'mean_log_depth_lag1': np.float64(2.7077749399641943e-05), 'spread_x_imbalance': np.float64(1.102384279217962e-07)}"
IWM,5bar,0.0035268136903964242,0.000912674004800107,0.5249343832020997,1143,"{'return_lag1': np.float64(1.2998744262309533e-06), 'return_lag5': np.float64(-2.4324642248287157e-06), 'return_vol_10': np.float64(2.1896229435241322e-05), 'return_mean_10': np.float64(-1.8038107039978666e-06), 'range_lag1': np.float64(-1.2505541971202208e-07), 'mean_spread_bps_lag1': np.float64(3.155186487382481e-07), 'mean_depth_imbalance_lag1': np.float64(-4.673368850834481e-05), 'quote_intensity_lag1': np.float64(-3.834660269993983e-07), 'mean_log_depth_lag1': np.float64(-1.3140641705448098e-05), 'spread_x_imbalance': np.float64(3.7847716514039473e-07)}"
GOOGL,1bar,0.030525834364759086,-0.6797146559625655,0.44013605442176873,1470,"{'return_lag1': np.float64(0.0020419468232804553), 'return_lag5': np.float64(-0.000660504033435233), 'return_vol_10': np.float64(0.00257993255722019), 'return_mean_10': np.float64(0.0010224318710236652), 'range_lag1': np.float64(9.69692060709474e-06), 'mean_spread_bps_lag1': np.float64(-4.558413443263599e-06), 'mean_depth_imbalance_lag1': np.float64(3.3619649892450013e-05), 'quote_intensity_lag1': np.float64(-6.291303753299818e-06), 'mean_log_depth_lag1': np.float64(-0.0006007314417664152), 'spread_x_imbalance': np.float64(-2.518315233201689e-05)}"
GOOGL,5bar,0.07268027059957605,0.004541588578734879,0.4901293396868618,1469,"{'return_lag1': np.float64(-0.006790136119339026), 'return_lag5': np.float64(-0.003356900818213786), 'return_vol_10': np.float64(-0.0006093209822085352), 'return_mean_10': np.float64(-0.003991398424191295), 'range_lag1': np.float64(-1.3370066185223596e-05), 'mean_spread_bps_lag1': np.float64(-2.2635993018625215e-06), 'mean_depth_imbalance_lag1': np.float64(0.0003649315146083876), 'quote_intensity_lag1': np.float64(3.4311445605976185e-06), 'mean_log_depth_lag1': np.float64(2.8050106492416042e-05), 'spread_x_imbalance': np.float64(-8.919350796510298e-05)}"
AMZN,1bar,0.024836708740169633,-0.1262155643106906,0.46251673360107093,1494,"{'return_lag1': np.float64(0.004276705927707113), 'return_lag5': np.float64(-0.0014356415821737468), 'return_vol_10': np.float64(-0.0012184878938453223), 'return_mean_10': np.float64(-0.00304417431178748), 'range_lag1': np.float64(-1.623442278093245e-06), 'mean_spread_bps_lag1': np.float64(1.1153685967197514e-05), 'mean_depth_imbalance_lag1': np.float64(0.0009591975875819989), 'quote_intensity_lag1': np.float64(2.8975584091125705e-06), 'mean_log_depth_lag1': np.float64(0.0002643566648154676), 'spread_x_imbalance': np.float64(-0.0004759358664796578)}"
AMZN,5bar,0.01232781895795143,0.002978978719523906,0.4708640321500335,1493,"{'return_lag1': np.float64(0.0001896512897615052), 'return_lag5': np.float64(-0.0022951376755479358), 'return_vol_10': np.float64(0.0001821571137603774), 'return_mean_10': np.float64(-0.0004555748919246735), 'range_lag1': np.float64(-1.6539228971674702e-06), 'mean_spread_bps_lag1': np.float64(1.8751805948290784e-06), 'mean_depth_imbalance_lag1': np.float64(0.0001303187292731935), 'quote_intensity_lag1': np.float64(1.958076542363959e-06), 'mean_log_depth_lag1': np.float64(-0.00011276779680261235), 'spread_x_imbalance': np.float64(3.646409888281176e-05)}"
